"stratum","count_year","total_count_circles","total_obs_hours"
"CAN",1966,6,246
"CAN",1967,6,395
"CAN",1968,5,380
"CAN",1969,6,374
"CAN",1970,5,503
"CAN",1971,7,735
"CAN",1972,8,686
"CAN",1973,12,837.5
"CAN",1974,15,1158
"CAN",1975,19,1199
"CAN",1976,23,1681.9
"CAN",1977,22,1794.2
"CAN",1978,23,1929.7
"CAN",1979,25,1935.5
"CAN",1980,28,1948.1
"CAN",1981,31,2206
"CAN",1982,35,2320.5
"CAN",1983,35,2419.8
"CAN",1984,35,2629.9
"CAN",1985,41,2710.6
"CAN",1986,34,2679.7
"CAN",1987,40,2942.6
"CAN",1988,39,3195.3
"CAN",1989,42,3346.9
"CAN",1990,45,3448.9
"CAN",1991,44,3115.7
"CAN",1992,49,4090.3
"CAN",1993,54,3716.6
"CAN",1994,51,4079.9
"CAN",1995,54,4504.2
"CAN",1996,58,4422.8
"CAN",1997,54,3905.1
"CAN",1998,59,4841.9
"CAN",1999,57,4221.2
"CAN",2000,59,4812.25
"CAN",2001,69,4671.73
"CAN",2002,74,5622.2
"CAN",2003,78,5465.3
"CAN",2004,81,5517
"CAN",2005,80,5606.75
"CAN",2006,86,5994
"CAN",2007,88,5746.7
"CAN",2008,86,5749.75
"CAN",2009,82,4516.75
"CAN",2010,89,5850.75
"CAN",2011,92,5874.5
"CAN",2012,94,5847.67
"CAN",2013,91,5699.02
"CAN",2014,95,5945.49
"CAN",2015,99,6205.49
"CAN",2016,99,6221.65
"CAN",2017,99,5980.11
"CAN",2018,96,6081.33
"CAN",2019,91,5888.13
"CAN",2020,88,5755.73
"CAN",2021,89,6486.23
"USA",1966,62,2728
"USA",1967,63,3447
"USA",1968,68,3630
"USA",1969,70,3478
"USA",1970,77,4416
"USA",1971,82,5205
"USA",1972,89,5587
"USA",1973,102,6634.5
"USA",1974,114,8625
"USA",1975,120,8876.8
"USA",1976,122,9247.2
"USA",1977,131,10502.6
"USA",1978,140,10588.5
"USA",1979,144,10278.1
"USA",1980,156,11282.1
"USA",1981,166,12152.5
"USA",1982,167,11161.2
"USA",1983,177,12684.2
"USA",1984,177,12732.9
"USA",1985,180,12316.3
"USA",1986,182,12596.5
"USA",1987,183,13238.4
"USA",1988,186,13656.2
"USA",1989,185,13555.9
"USA",1990,192,14157.5
"USA",1991,191,13268.25
"USA",1992,209,14883.75
"USA",1993,204,14890.25
"USA",1994,207,15522.75
"USA",1995,214,15345.25
"USA",1996,208,15770.85
"USA",1997,218,15223.75
"USA",1998,228,16479.75
"USA",1999,230,16244.6
"USA",2000,234,17254.5
"USA",2001,241,18017.11
"USA",2002,246,17589.37
"USA",2003,249,18114.82
"USA",2004,247,18042.5
"USA",2005,248,19361.5
"USA",2006,253,18576.15
"USA",2007,252,19172.9
"USA",2008,255,19838.95
"USA",2009,255,17980.1
"USA",2010,253,19051.4
"USA",2011,257,18457
"USA",2012,260,19509.79
"USA",2013,258,18442.79
"USA",2014,270,20486.63
"USA",2015,272,20680.15
"USA",2016,269,20118.46
"USA",2017,277,19454.55
"USA",2018,274,21328.81
"USA",2019,283,20660.82
"USA",2020,277,21083.86
"USA",2021,239,20185.85
"AB",1966,1,43
"AB",1967,1,48
"AB",1968,1,49
"AB",1969,1,35
"AB",1970,1,54
"AB",1971,1,31
"AB",1972,1,38
"AB",1973,1,68
"AB",1974,1,78
"AB",1975,2,114
"AB",1976,4,233.5
"AB",1977,4,325.3
"AB",1978,4,412
"AB",1979,5,347.6
"AB",1980,5,345.6
"AB",1981,5,333.4
"AB",1982,5,342.1
"AB",1983,6,450.9
"AB",1984,6,426.6
"AB",1985,5,315.3
"AB",1986,5,468.3
"AB",1987,6,533.4
"AB",1988,6,565.5
"AB",1989,6,576.8
"AB",1990,6,560.3
"AB",1991,5,456
"AB",1992,7,690.3
"AB",1993,9,632.7
"AB",1994,7,647.2
"AB",1995,6,672.6
"AB",1996,8,793.7
"AB",1997,7,648.4
"AB",1998,8,912.1
"AB",1999,8,728.75
"AB",2000,9,767.25
"AB",2001,12,868.78
"AB",2002,12,839.75
"AB",2003,12,994.25
"AB",2004,13,835
"AB",2005,11,773.75
"AB",2006,13,914.75
"AB",2007,13,884.75
"AB",2008,12,956.25
"AB",2009,9,623.5
"AB",2010,10,773.5
"AB",2011,11,763
"AB",2012,12,858
"AB",2013,13,831
"AB",2014,12,811.6
"AB",2015,12,759.42
"AB",2016,11,796.93
"AB",2017,11,764.28
"AB",2018,11,780.44
"AB",2019,10,798.38
"AB",2020,11,770.22
"AB",2021,11,1074.67
"AK",1966,3,32
"AK",1967,2,47
"AK",1968,4,66
"AK",1969,5,118
"AK",1970,3,54
"AK",1971,3,87
"AK",1972,5,77
"AK",1973,2,39
"AK",1974,7,149
"AK",1975,9,211.5
"AK",1976,9,227
"AK",1977,9,332
"AK",1978,8,249.5
"AK",1979,8,277
"AK",1980,11,320.3
"AK",1981,12,404
"AK",1982,16,579.8
"AK",1983,16,696.8
"AK",1984,18,648.8
"AK",1985,15,483.6
"AK",1986,17,546.9
"AK",1987,16,555.9
"AK",1988,16,516.5
"AK",1989,17,498.4
"AK",1990,18,595.3
"AK",1991,20,717
"AK",1992,22,717.5
"AK",1993,20,827
"AK",1994,21,876.5
"AK",1995,25,879.75
"AK",1996,26,954.75
"AK",1997,24,831.75
"AK",1998,25,977
"AK",1999,25,999.95
"AK",2000,25,953.05
"AK",2001,25,1017.65
"AK",2002,26,995.15
"AK",2003,26,1166.4
"AK",2004,27,981
"AK",2005,25,1078.5
"AK",2006,28,1149.25
"AK",2007,27,1230.25
"AK",2008,27,1206.75
"AK",2009,29,1149
"AK",2010,29,1160.5
"AK",2011,27,1166.5
"AK",2012,27,1174.05
"AK",2013,26,1022.3
"AK",2014,27,1052.48
"AK",2015,29,1182.4
"AK",2016,26,1088.57
"AK",2017,26,1116.6
"AK",2018,27,1167.32
"AK",2019,28,1154.48
"AK",2020,25,1120.85
"AK",2021,24,1141.05
"AZ",1966,1,42
"AZ",1967,1,42
"AZ",1968,1,24
"AZ",1969,3,150
"AZ",1970,3,105
"AZ",1971,3,216
"AZ",1972,4,269
"AZ",1973,5,404
"AZ",1974,5,482
"AZ",1975,5,410
"AZ",1976,5,425.2
"AZ",1977,6,518.3
"AZ",1978,5,475.8
"AZ",1979,7,583
"AZ",1980,7,563
"AZ",1981,7,612.3
"AZ",1982,5,562.5
"AZ",1983,6,637.5
"AZ",1984,6,608.5
"AZ",1985,6,504.8
"AZ",1986,6,611
"AZ",1987,6,553.5
"AZ",1988,6,476.5
"AZ",1989,6,600.5
"AZ",1990,6,580.3
"AZ",1991,6,582
"AZ",1992,6,540.5
"AZ",1993,6,510
"AZ",1994,6,564.75
"AZ",1995,6,537.75
"AZ",1996,5,471.5
"AZ",1997,6,525
"AZ",1998,6,551.5
"AZ",1999,6,565.5
"AZ",2000,6,540.5
"AZ",2001,6,578.15
"AZ",2002,6,622.75
"AZ",2003,6,674.75
"AZ",2004,6,673.75
"AZ",2005,6,661.75
"AZ",2006,6,770.5
"AZ",2007,6,655.75
"AZ",2008,5,480.75
"AZ",2009,6,663.75
"AZ",2010,6,637.5
"AZ",2011,6,662.25
"AZ",2012,5,577.55
"AZ",2013,4,335.3
"AZ",2014,6,688.85
"AZ",2015,6,616.9
"AZ",2016,6,522.75
"AZ",2017,6,591.45
"AZ",2018,6,793.58
"AZ",2019,6,611.76
"AZ",2020,6,583.97
"AZ",2021,6,792.1
"BC",1966,5,203
"BC",1967,5,347
"BC",1968,4,331
"BC",1969,5,339
"BC",1970,4,449
"BC",1971,6,704
"BC",1972,7,648
"BC",1973,11,769.5
"BC",1974,13,1067
"BC",1975,16,1070
"BC",1976,18,1416.4
"BC",1977,17,1448.9
"BC",1978,18,1479.7
"BC",1979,19,1568.6
"BC",1980,21,1578.7
"BC",1981,24,1859.6
"BC",1982,28,1934.4
"BC",1983,28,1959.6
"BC",1984,28,2196.5
"BC",1985,34,2374.8
"BC",1986,28,2204.9
"BC",1987,33,2396.2
"BC",1988,32,2620.8
"BC",1989,34,2729.1
"BC",1990,36,2830.2
"BC",1991,37,2636.6
"BC",1992,41,3388.9
"BC",1993,43,2997.1
"BC",1994,42,3393.7
"BC",1995,45,3756.6
"BC",1996,47,3554.8
"BC",1997,43,3187
"BC",1998,47,3847.7
"BC",1999,46,3429.75
"BC",2000,46,3952.75
"BC",2001,53,3705.65
"BC",2002,58,4692
"BC",2003,62,4407.55
"BC",2004,63,4570
"BC",2005,64,4702
"BC",2006,68,4966.75
"BC",2007,70,4746.2
"BC",2008,69,4691.25
"BC",2009,67,3765.25
"BC",2010,73,4941.5
"BC",2011,75,4982.75
"BC",2012,77,4862.47
"BC",2013,72,4713.26
"BC",2014,77,4980.16
"BC",2015,81,5261.12
"BC",2016,82,5257.47
"BC",2017,82,5064.87
"BC",2018,79,5135.24
"BC",2019,75,4910.45
"BC",2020,71,4823.46
"BC",2021,72,5149.96
"CA",1966,17,1028
"CA",1967,18,1472
"CA",1968,21,1747
"CA",1969,21,1347
"CA",1970,21,1561
"CA",1971,25,1808
"CA",1972,26,2236
"CA",1973,33,2967
"CA",1974,33,3892.5
"CA",1975,35,3778.5
"CA",1976,36,3923.8
"CA",1977,39,4577.7
"CA",1978,42,4571.4
"CA",1979,43,4392.4
"CA",1980,44,4853.8
"CA",1981,45,5089.5
"CA",1982,44,4246.2
"CA",1983,47,4758.4
"CA",1984,48,5181.9
"CA",1985,48,4704.4
"CA",1986,47,4693.2
"CA",1987,48,4746.3
"CA",1988,49,4907.5
"CA",1989,44,4344.3
"CA",1990,49,5114.5
"CA",1991,47,4602
"CA",1992,51,5068.25
"CA",1993,49,5044.25
"CA",1994,47,5173
"CA",1995,52,5617
"CA",1996,49,5355.6
"CA",1997,49,4819.25
"CA",1998,52,5433.5
"CA",1999,52,5460.45
"CA",2000,50,5759
"CA",2001,53,6128.81
"CA",2002,51,5805.62
"CA",2003,54,5629.13
"CA",2004,53,6361.25
"CA",2005,53,6105.5
"CA",2006,54,5480.25
"CA",2007,52,5983.7
"CA",2008,52,6693.95
"CA",2009,53,5839.15
"CA",2010,51,6167.4
"CA",2011,53,5512
"CA",2012,55,6302.09
"CA",2013,55,5855.19
"CA",2014,57,6448.54
"CA",2015,59,6709.35
"CA",2016,58,6387.39
"CA",2017,58,5978.93
"CA",2018,58,6827.76
"CA",2019,60,6291.7
"CA",2020,59,5798.63
"CA",2021,49,5492.02
"CO",1966,11,501
"CO",1967,12,630
"CO",1968,12,460
"CO",1969,13,583
"CO",1970,12,794
"CO",1971,13,1005
"CO",1972,15,913
"CO",1973,15,856.5
"CO",1974,15,1162.5
"CO",1975,14,1314.5
"CO",1976,15,1192
"CO",1977,15,1334.5
"CO",1978,17,1312.2
"CO",1979,17,1187.3
"CO",1980,19,1267.9
"CO",1981,20,1350.6
"CO",1982,21,1343.7
"CO",1983,22,1363.2
"CO",1984,21,1319.6
"CO",1985,19,1433.9
"CO",1986,21,1458.3
"CO",1987,22,1744.7
"CO",1988,22,1550.2
"CO",1989,23,1771.9
"CO",1990,23,1916.9
"CO",1991,24,1843.25
"CO",1992,25,1766
"CO",1993,25,2076
"CO",1994,26,1969.25
"CO",1995,26,1911.75
"CO",1996,25,1933.5
"CO",1997,27,2017.75
"CO",1998,27,1961
"CO",1999,27,1888.25
"CO",2000,28,2102.55
"CO",2001,29,2153.25
"CO",2002,29,1984
"CO",2003,28,2064.7
"CO",2004,28,2030.5
"CO",2005,28,2231.75
"CO",2006,27,1907.75
"CO",2007,30,2104.75
"CO",2008,30,2068.75
"CO",2009,29,2142.25
"CO",2010,30,2176
"CO",2011,31,2224.5
"CO",2012,32,2449.11
"CO",2013,32,2510.55
"CO",2014,33,2424.72
"CO",2015,31,2313.81
"CO",2016,32,2496.7
"CO",2017,34,2304.7
"CO",2018,32,2671.3
"CO",2019,33,2620.62
"CO",2020,33,2980.18
"CO",2021,29,2881.19
"ID",1966,1,9
"ID",1967,2,31
"ID",1968,1,21
"ID",1969,2,34
"ID",1970,3,57
"ID",1971,3,98
"ID",1972,3,62
"ID",1973,4,103
"ID",1974,4,116
"ID",1975,5,121.5
"ID",1976,4,116.5
"ID",1977,5,197.5
"ID",1978,6,164.5
"ID",1979,5,175.5
"ID",1980,7,216
"ID",1981,8,267.8
"ID",1982,8,248
"ID",1983,8,235
"ID",1984,8,262.5
"ID",1985,8,276.5
"ID",1986,7,220.5
"ID",1987,6,236.5
"ID",1988,9,337.3
"ID",1989,8,322.6
"ID",1990,9,396.3
"ID",1991,9,325.5
"ID",1992,12,474.75
"ID",1993,11,444.5
"ID",1994,12,475
"ID",1995,12,498.75
"ID",1996,13,531
"ID",1997,12,434.75
"ID",1998,14,572
"ID",1999,15,572.75
"ID",2000,15,600.25
"ID",2001,13,566.35
"ID",2002,13,589.85
"ID",2003,14,597.95
"ID",2004,13,613.25
"ID",2005,13,788
"ID",2006,14,669
"ID",2007,14,590
"ID",2008,16,830.5
"ID",2009,17,694
"ID",2010,16,745.5
"ID",2011,16,767
"ID",2012,17,778.6
"ID",2013,20,843.37
"ID",2014,20,954.08
"ID",2015,21,1007.05
"ID",2016,21,895.55
"ID",2017,21,904.3
"ID",2018,21,892.05
"ID",2019,20,966.34
"ID",2020,20,1054.8
"ID",2021,16,988.76
"MT",1966,5,115
"MT",1967,5,128
"MT",1968,4,106
"MT",1969,4,122
"MT",1970,5,178
"MT",1971,6,227
"MT",1972,6,221
"MT",1973,6,212
"MT",1974,7,249
"MT",1975,7,263
"MT",1976,9,425
"MT",1977,9,435.3
"MT",1978,10,543.1
"MT",1979,10,409
"MT",1980,11,516.7
"MT",1981,13,539
"MT",1982,13,537
"MT",1983,12,634
"MT",1984,12,518.7
"MT",1985,14,610.4
"MT",1986,14,577.1
"MT",1987,14,646.7
"MT",1988,14,672.9
"MT",1989,15,765.4
"MT",1990,16,739.9
"MT",1991,16,680.5
"MT",1992,16,773.75
"MT",1993,15,634.25
"MT",1994,16,860
"MT",1995,18,816.25
"MT",1996,15,768.75
"MT",1997,17,667.25
"MT",1998,18,756
"MT",1999,18,748
"MT",2000,19,879.9
"MT",2001,19,811
"MT",2002,21,918.2
"MT",2003,20,955.28
"MT",2004,20,871.75
"MT",2005,20,934.75
"MT",2006,20,803.75
"MT",2007,20,983.25
"MT",2008,19,960
"MT",2009,21,850.25
"MT",2010,20,935.5
"MT",2011,20,977.75
"MT",2012,20,942.13
"MT",2013,20,921.85
"MT",2014,20,982.48
"MT",2015,20,1086.25
"MT",2016,20,965.13
"MT",2017,21,983.6
"MT",2018,20,990.96
"MT",2019,21,1102.32
"MT",2020,21,1076.61
"MT",2021,20,1280.9
"NM",1966,4,145
"NM",1967,3,89
"NM",1968,3,109
"NM",1969,3,104
"NM",1970,3,72
"NM",1971,2,53
"NM",1972,3,82
"NM",1973,4,158
"NM",1974,4,181.5
"NM",1975,4,164.5
"NM",1976,4,145
"NM",1977,4,151.5
"NM",1978,4,159
"NM",1979,4,143.8
"NM",1980,4,155.8
"NM",1981,4,131.9
"NM",1982,4,145
"NM",1983,5,202.5
"NM",1984,5,181.6
"NM",1985,5,209.6
"NM",1986,5,209
"NM",1987,4,235
"NM",1988,5,195.5
"NM",1989,5,217.3
"NM",1990,5,259
"NM",1991,5,235.5
"NM",1992,5,269
"NM",1993,5,229
"NM",1994,5,266.75
"NM",1995,5,259
"NM",1996,4,198.5
"NM",1997,5,303.5
"NM",1998,6,253
"NM",1999,7,293
"NM",2000,7,337.5
"NM",2001,7,319
"NM",2002,9,404
"NM",2003,9,455.5
"NM",2004,9,423.75
"NM",2005,10,450.75
"NM",2006,10,476.75
"NM",2007,9,440.25
"NM",2008,10,410.5
"NM",2009,9,318.5
"NM",2010,8,349.5
"NM",2011,7,330.5
"NM",2012,8,388.45
"NM",2013,8,350.75
"NM",2014,8,330
"NM",2015,8,411.05
"NM",2016,9,347.5
"NM",2017,9,431.4
"NM",2018,11,456.66
"NM",2019,12,542.04
"NM",2020,12,542.24
"NM",2021,9,520.65
"NV",1966,2,24
"NV",1967,2,45
"NV",1968,2,49
"NV",1969,2,75
"NV",1970,2,116
"NV",1971,1,58
"NV",1972,2,89
"NV",1973,2,104
"NV",1974,2,110
"NV",1975,2,114
"NV",1976,1,72
"NV",1977,1,32
"NV",1978,2,35
"NV",1979,2,26.3
"NV",1980,1,23.5
"NV",1981,2,78
"NV",1982,2,82
"NV",1983,2,98.9
"NV",1984,3,149
"NV",1985,3,134
"NV",1986,3,132.4
"NV",1987,3,114.9
"NV",1988,2,287.3
"NV",1989,3,369.8
"NV",1990,3,136.4
"NV",1991,3,137.75
"NV",1992,3,161.25
"NV",1993,3,158.25
"NV",1994,3,160.25
"NV",1995,3,146.25
"NV",1996,3,117.5
"NV",1997,3,106.5
"NV",1998,4,156
"NV",1999,4,164
"NV",2000,4,195
"NV",2001,4,214.25
"NV",2002,4,260.75
"NV",2003,5,194.4
"NV",2004,5,212
"NV",2005,5,220
"NV",2006,5,209.25
"NV",2007,5,256.25
"NV",2008,5,208
"NV",2009,5,183.75
"NV",2010,6,296.75
"NV",2011,6,251.75
"NV",2012,6,344.85
"NV",2013,6,205.15
"NV",2014,5,255.28
"NV",2015,5,237.5
"NV",2016,5,230.3
"NV",2017,5,248.75
"NV",2018,5,290.5
"NV",2019,5,241.25
"NV",2020,5,360.9
"NV",2021,5,359.1
"OR",1966,7,344
"OR",1967,7,440
"OR",1968,9,538
"OR",1969,8,484
"OR",1970,11,798
"OR",1971,11,810
"OR",1972,12,848
"OR",1973,13,767
"OR",1974,14,850
"OR",1975,16,934
"OR",1976,17,1099.1
"OR",1977,19,1175
"OR",1978,19,1285
"OR",1979,19,1099.5
"OR",1980,21,1262
"OR",1981,22,1292.8
"OR",1982,20,1245
"OR",1983,22,1333.6
"OR",1984,23,1514.9
"OR",1985,24,1520.8
"OR",1986,23,1486.6
"OR",1987,25,1634.5
"OR",1988,23,1411
"OR",1989,23,1484
"OR",1990,22,1407.1
"OR",1991,24,1467
"OR",1992,26,1712.5
"OR",1993,27,1753.25
"OR",1994,27,1734
"OR",1995,25,1648.75
"OR",1996,24,1798.25
"OR",1997,27,1996.25
"OR",1998,27,1816.5
"OR",1999,28,1797.05
"OR",2000,27,1605.75
"OR",2001,30,1758.4
"OR",2002,30,1847.3
"OR",2003,29,2020.38
"OR",2004,31,1548.25
"OR",2005,31,2084
"OR",2006,31,1885.25
"OR",2007,30,2011.7
"OR",2008,30,2029
"OR",2009,29,1712
"OR",2010,30,2047.25
"OR",2011,32,2219.5
"OR",2012,32,2094.96
"OR",2013,29,2001.03
"OR",2014,35,2492.35
"OR",2015,33,2243.13
"OR",2016,33,2223.8
"OR",2017,34,2182.8
"OR",2018,34,2287.84
"OR",2019,35,2432.1
"OR",2020,33,2381.7
"OR",2021,23,2211.33
"SD",1966,1,48
"SD",1967,1,56
"SD",1968,1,51
"SD",1969,1,49
"SD",1970,1,59
"SD",1971,1,65
"SD",1972,1,46
"SD",1973,1,62
"SD",1974,1,67
"SD",1975,1,80
"SD",1976,1,78
"SD",1977,2,92.5
"SD",1978,2,92.5
"SD",1979,2,116.6
"SD",1980,2,99
"SD",1981,2,123.5
"SD",1982,2,101
"SD",1983,2,95
"SD",1984,2,101
"SD",1985,2,89.5
"SD",1986,2,81
"SD",1987,2,113.5
"SD",1988,2,134.1
"SD",1989,2,109.5
"SD",1990,2,122.8
"SD",1991,2,103
"SD",1992,2,113.5
"SD",1993,2,102.5
"SD",1994,2,148.5
"SD",1995,2,86.5
"SD",1996,2,104
"SD",1997,2,70.75
"SD",1998,2,91
"SD",1999,2,77.75
"SD",2000,2,77.75
"SD",2001,2,67.25
"SD",2002,2,68.5
"SD",2003,2,78
"SD",2004,2,103.5
"SD",2005,2,93
"SD",2006,2,68.5
"SD",2007,2,99.25
"SD",2008,2,93.5
"SD",2009,2,90
"SD",2010,2,91.25
"SD",2011,2,89.75
"SD",2012,2,103.25
"SD",2013,2,107.5
"SD",2014,2,87.75
"SD",2015,2,141.05
"SD",2016,2,83.78
"SD",2017,2,83
"SD",2018,2,73
"SD",2019,2,64.17
"SD",2020,2,88.25
"SD",2021,2,116
"UT",1966,4,154
"UT",1967,4,127
"UT",1968,4,131
"UT",1969,2,99
"UT",1970,4,122
"UT",1971,3,113
"UT",1972,3,135
"UT",1973,6,200
"UT",1974,5,230
"UT",1975,4,188
"UT",1976,4,195.6
"UT",1977,5,331
"UT",1978,5,311
"UT",1979,5,351
"UT",1980,5,347.5
"UT",1981,6,437
"UT",1982,6,392.8
"UT",1983,6,386.9
"UT",1984,6,465
"UT",1985,7,458
"UT",1986,7,419.3
"UT",1987,7,517.9
"UT",1988,7,518.1
"UT",1989,7,585.4
"UT",1990,7,593.3
"UT",1991,7,545
"UT",1992,8,663.5
"UT",1993,7,570.5
"UT",1994,8,605
"UT",1995,6,515.75
"UT",1996,7,581.75
"UT",1997,8,656
"UT",1998,8,703.5
"UT",1999,7,682.25
"UT",2000,8,702.75
"UT",2001,9,783.95
"UT",2002,9,699.2
"UT",2003,9,693.4
"UT",2004,8,863.5
"UT",2005,9,916
"UT",2006,9,1193
"UT",2007,9,1000.25
"UT",2008,9,960.75
"UT",2009,10,881.5
"UT",2010,11,967.5
"UT",2011,11,727.25
"UT",2012,12,890.55
"UT",2013,10,810
"UT",2014,11,862.55
"UT",2015,12,822.5
"UT",2016,12,880.28
"UT",2017,13,820.87
"UT",2018,12,905.49
"UT",2019,13,1008.88
"UT",2020,13,1026.15
"UT",2021,12,915.5
"WA",1966,3,209
"WA",1967,3,246
"WA",1968,4,272
"WA",1969,3,202
"WA",1970,6,411
"WA",1971,7,485
"WA",1972,6,496
"WA",1973,7,636
"WA",1974,10,924.5
"WA",1975,11,1024
"WA",1976,10,1094
"WA",1977,11,1087.5
"WA",1978,12,1070
"WA",1979,15,1210.6
"WA",1980,16,1274.6
"WA",1981,17,1485.6
"WA",1982,17,1360.9
"WA",1983,18,1813.4
"WA",1984,16,1457.6
"WA",1985,18,1430.6
"WA",1986,19,1749.6
"WA",1987,19,1650.6
"WA",1988,19,2113.3
"WA",1989,20,1898.4
"WA",1990,20,1799.6
"WA",1991,16,1481
"WA",1992,21,2039
"WA",1993,22,1978.75
"WA",1994,22,2114.25
"WA",1995,22,1957.5
"WA",1996,23,2402.25
"WA",1997,25,2251.75
"WA",1998,26,2590.5
"WA",1999,27,2473.2
"WA",2000,31,2892
"WA",2001,30,2934.05
"WA",2002,32,2852
"WA",2003,33,2956.93
"WA",2004,31,2782.5
"WA",2005,33,3118.75
"WA",2006,33,3298.65
"WA",2007,34,3166
"WA",2008,35,3222.75
"WA",2009,32,2823.2
"WA",2010,31,2818
"WA",2011,33,2968.25
"WA",2012,32,2848.45
"WA",2013,33,2842.8
"WA",2014,33,3311.85
"WA",2015,34,3304.4
"WA",2016,32,3299.32
"WA",2017,35,3193.65
"WA",2018,34,3342.05
"WA",2019,35,3084.61
"WA",2020,35,3471.03
"WA",2021,31,2905.25
"WY",1966,3,77
"WY",1967,3,94
"WY",1968,2,56
"WY",1969,3,111
"WY",1970,3,89
"WY",1971,4,180
"WY",1972,3,113
