"stratum","count_year","total_count_circles","total_obs_hours"
"WY",1973,4,126
"WY",1974,7,211
"WY",1975,7,273.3
"WY",1976,7,254
"WY",1977,6,237.8
"WY",1978,8,319.5
"WY",1979,7,306.1
"WY",1980,8,382
"WY",1981,8,340.5
"WY",1982,9,317.3
"WY",1983,11,429
"WY",1984,9,323.8
"WY",1985,11,460.2
"WY",1986,11,411.6
"WY",1987,11,488.4
"WY",1988,12,536
"WY",1989,12,588.4
"WY",1990,12,496.1
"WY",1991,12,548.75
"WY",1992,12,584.25
"WY",1993,12,562
"WY",1994,12,575.5
"WY",1995,12,470.25
"WY",1996,12,553.5
"WY",1997,13,543.25
"WY",1998,13,618.25
"WY",1999,12,522.45
"WY",2000,12,608.5
"WY",2001,14,685
"WY",2002,14,542.05
"WY",2003,14,628
"WY",2004,14,577.5
"WY",2005,13,678.75
"WY",2006,14,664.25
"WY",2007,14,651.5
"WY",2008,15,673.75
"WY",2009,13,632.75
"WY",2010,13,658.75
"WY",2011,13,560
"WY",2012,12,615.75
"WY",2013,13,637
"WY",2014,13,595.7
"WY",2015,12,604.76
"WY",2016,13,697.39
"WY",2017,13,614.5
"WY",2018,12,630.3
"WY",2019,13,540.55
"WY",2020,13,598.55
"WY",2021,13,582
"YT",1974,1,13
"YT",1975,1,15
"YT",1976,1,32
"YT",1977,1,20
"YT",1978,1,38
"YT",1979,1,19.3
"YT",1980,2,23.8
"YT",1981,2,13
"YT",1982,2,44
"YT",1983,1,9.3
"YT",1984,1,6.8
"YT",1985,2,20.5
"YT",1986,1,6.5
"YT",1987,1,13
"YT",1988,1,9
"YT",1989,2,41
"YT",1990,3,58.4
"YT",1991,2,23.1
"YT",1992,1,11.1
"YT",1993,2,86.8
"YT",1994,2,39
"YT",1995,3,75
"YT",1996,3,74.3
"YT",1997,4,69.7
"YT",1998,4,82.1
"YT",1999,3,62.7
"YT",2000,4,92.25
"YT",2001,4,97.3
"YT",2002,4,90.45
"YT",2003,4,63.5
"YT",2004,5,112
"YT",2005,5,131
"YT",2006,5,112.5
"YT",2007,5,115.75
"YT",2008,5,102.25
"YT",2009,6,128
"YT",2010,6,135.75
"YT",2011,6,128.75
"YT",2012,5,127.2
"YT",2013,6,154.76
"YT",2014,6,153.73
"YT",2015,6,184.95
"YT",2016,6,167.25
"YT",2017,6,150.96
"YT",2018,6,165.65
"YT",2019,6,179.3
"YT",2020,6,162.05
"YT",2021,6,261.6
"BCR02",1966,1,10
"BCR02",1968,1,5
"BCR02",1969,1,10
"BCR02",1972,1,8
"BCR02",1974,2,44
"BCR02",1975,2,55.5
"BCR02",1976,2,43.5
"BCR02",1977,2,50
"BCR02",1978,2,31
"BCR02",1979,2,43
"BCR02",1980,2,46
"BCR02",1981,2,56
"BCR02",1982,3,70.5
"BCR02",1983,3,72.5
"BCR02",1984,3,95
"BCR02",1985,2,53.3
"BCR02",1986,3,88.5
"BCR02",1987,3,79.5
"BCR02",1988,3,74
"BCR02",1989,3,66
"BCR02",1990,3,80.8
"BCR02",1991,3,92
"BCR02",1992,3,104
"BCR02",1993,3,99
"BCR02",1994,3,83.5
"BCR02",1995,4,115.75
"BCR02",1996,3,107.25
"BCR02",1997,4,112.75
"BCR02",1998,4,102.5
"BCR02",1999,4,118.45
"BCR02",2000,4,94.5
"BCR02",2001,4,121.75
"BCR02",2002,3,93.5
"BCR02",2003,3,146
"BCR02",2004,3,102
"BCR02",2005,3,138.25
"BCR02",2006,3,155.5
"BCR02",2007,3,118
"BCR02",2008,4,152
"BCR02",2009,4,147.75
"BCR02",2010,4,172
"BCR02",2011,3,145.75
"BCR02",2012,4,148.8
"BCR02",2013,4,151.7
"BCR02",2014,4,170.25
"BCR02",2015,4,160.75
"BCR02",2016,4,131.75
"BCR02",2017,3,125.5
"BCR02",2018,3,132.75
"BCR02",2019,3,127.8
"BCR02",2020,2,106.75
"BCR02",2021,2,131.75
"BCR04",1966,2,22
"BCR04",1967,2,47
"BCR04",1968,2,34
"BCR04",1969,2,50
"BCR04",1970,1,28
"BCR04",1971,1,25
"BCR04",1972,2,42
"BCR04",1973,1,33
"BCR04",1974,3,86
"BCR04",1975,3,90.5
"BCR04",1976,3,129.5
"BCR04",1977,3,173.5
"BCR04",1978,3,156
"BCR04",1979,3,118.3
"BCR04",1980,5,182.1
"BCR04",1981,6,243
"BCR04",1982,6,347.5
"BCR04",1983,5,474.3
"BCR04",1984,6,302.8
"BCR04",1985,7,283.5
"BCR04",1986,6,278.5
"BCR04",1987,6,294.3
"BCR04",1988,6,245
"BCR04",1989,7,264.3
"BCR04",1990,8,300.9
"BCR04",1991,8,304.85
"BCR04",1992,7,293.35
"BCR04",1993,7,445.8
"BCR04",1994,8,424.5
"BCR04",1995,10,407.5
"BCR04",1996,10,435.55
"BCR04",1997,11,385.2
"BCR04",1998,11,503.85
"BCR04",1999,10,478.95
"BCR04",2000,12,512.85
"BCR04",2001,12,580.55
"BCR04",2002,12,505.75
"BCR04",2003,12,568.25
"BCR04",2004,14,509.5
"BCR04",2005,14,626.75
"BCR04",2006,14,559.75
"BCR04",2007,14,693.5
"BCR04",2008,14,661.75
"BCR04",2009,16,613.75
"BCR04",2010,16,643.5
"BCR04",2011,16,689.5
"BCR04",2012,14,657
"BCR04",2013,15,604.76
"BCR04",2014,15,601.43
"BCR04",2015,16,701.95
"BCR04",2016,15,700.97
"BCR04",2017,14,649.41
"BCR04",2018,16,720.85
"BCR04",2019,16,703.45
"BCR04",2020,14,650.65
"BCR04",2021,15,756.3
"BCR05",1966,13,655
"BCR05",1967,12,870
"BCR05",1968,15,978
"BCR05",1969,17,1099
"BCR05",1970,17,1541
"BCR05",1971,20,1948
"BCR05",1972,23,2104
"BCR05",1973,28,2304
"BCR05",1974,35,2907
"BCR05",1975,42,3103.5
"BCR05",1976,40,3470.2
"BCR05",1977,41,3576.7
"BCR05",1978,43,3837.4
"BCR05",1979,44,3641.4
"BCR05",1980,49,4035.5
"BCR05",1981,52,4366.6
"BCR05",1982,54,4010.1
"BCR05",1983,57,4672.6
"BCR05",1984,60,4695.4
"BCR05",1985,60,4603.9
"BCR05",1986,58,4921.6
"BCR05",1987,63,5140.5
"BCR05",1988,58,5156.6
"BCR05",1989,61,5277.3
"BCR05",1990,62,5332.9
"BCR05",1991,61,5045.75
"BCR05",1992,72,6119.5
"BCR05",1993,71,5976.15
"BCR05",1994,73,6306.2
"BCR05",1995,75,6593.6
"BCR05",1996,76,6925.8
"BCR05",1997,73,6668.2
"BCR05",1998,76,7110.35
"BCR05",1999,77,6599.85
"BCR05",2000,81,7434.75
"BCR05",2001,82,7247.35
"BCR05",2002,86,7718.2
"BCR05",2003,86,7698.13
"BCR05",2004,86,7383
"BCR05",2005,85,8361
"BCR05",2006,88,8183.7
"BCR05",2007,90,8185.4
"BCR05",2008,89,8368.75
"BCR05",2009,83,6898.2
"BCR05",2010,87,7866.75
"BCR05",2011,88,7842
"BCR05",2012,88,7752.92
"BCR05",2013,80,7061.51
"BCR05",2014,90,8733.28
"BCR05",2015,93,8519.89
"BCR05",2016,87,8475.85
"BCR05",2017,93,8397.99
"BCR05",2018,91,8640.14
"BCR05",2019,93,8232.23
"BCR05",2020,91,8443.3
"BCR05",2021,82,8144.52
"BCR06",1975,1,39
"BCR06",1976,1,26.5
"BCR06",1977,1,83.8
"BCR06",1978,1,151.5
"BCR06",1979,1,88.1
"BCR06",1980,1,91.6
"BCR06",1981,2,112.9
"BCR06",1982,2,116.1
"BCR06",1983,2,157.4
"BCR06",1984,2,171.1
"BCR06",1985,2,95.8
"BCR06",1986,2,189.3
"BCR06",1987,2,272.4
"BCR06",1988,2,283
"BCR06",1989,2,259.8
"BCR06",1990,2,270.3
"BCR06",1991,2,162.5
"BCR06",1992,3,329.8
"BCR06",1993,5,269.7
"BCR06",1994,3,309.7
"BCR06",1995,3,366.6
"BCR06",1996,4,441.2
"BCR06",1997,3,287.9
"BCR06",1998,4,461.3
"BCR06",1999,3,274
"BCR06",2000,4,372.5
"BCR06",2001,5,387.78
"BCR06",2002,5,352.5
"BCR06",2003,5,422.75
"BCR06",2004,5,307
"BCR06",2005,4,281.25
"BCR06",2006,4,291.75
"BCR06",2007,4,270.25
"BCR06",2008,4,326.5
"BCR06",2009,4,270
"BCR06",2010,4,291.75
"BCR06",2011,4,217.5
"BCR06",2012,4,248.25
"BCR06",2013,4,231.25
"BCR06",2014,4,231.25
"BCR06",2015,4,219.67
"BCR06",2016,4,227.38
"BCR06",2017,4,215.33
"BCR06",2018,4,239.91
"BCR06",2019,4,257.65
"BCR06",2020,4,240.87
"BCR06",2021,4,201.4
"BCR09",1966,7,182
"BCR09",1967,8,211
"BCR09",1968,9,302
"BCR09",1969,9,285
"BCR09",1970,13,511
"BCR09",1971,13,540
"BCR09",1972,11,366
"BCR09",1973,16,598.5
"BCR09",1974,16,713
"BCR09",1975,20,849.5
"BCR09",1976,20,961.7
"BCR09",1977,20,1070.5
"BCR09",1978,22,912
"BCR09",1979,26,1237
"BCR09",1980,26,1176.8
"BCR09",1981,30,1460.4
"BCR09",1982,31,1528.7
"BCR09",1983,31,1458.2
"BCR09",1984,32,1867.1
"BCR09",1985,35,1852.5
"BCR09",1986,34,1716.2
"BCR09",1987,35,1939.3
"BCR09",1988,37,2645.5
"BCR09",1989,38,2553.5
"BCR09",1990,41,2431.7
"BCR09",1991,40,2116.75
"BCR09",1992,43,2428.85
"BCR09",1993,44,2496.35
"BCR09",1994,42,2609.05
"BCR09",1995,44,2410.55
"BCR09",1996,46,2557
"BCR09",1997,49,2309.05
"BCR09",1998,51,3113.55
"BCR09",1999,52,2935
"BCR09",2000,50,2907.7
"BCR09",2001,52,2982.82
"BCR09",2002,54,3299.35
"BCR09",2003,60,3441.63
"BCR09",2004,57,3371
"BCR09",2005,59,3550.75
"BCR09",2006,60,3442.2
"BCR09",2007,60,3436
"BCR09",2008,61,3571.25
"BCR09",2009,60,2943.75
"BCR09",2010,62,3507.75
"BCR09",2011,66,3746.25
"BCR09",2012,66,3944.25
"BCR09",2013,69,3649.47
"BCR09",2014,70,4060.36
"BCR09",2015,71,4058.87
"BCR09",2016,69,3888.65
"BCR09",2017,71,3764.84
"BCR09",2018,68,3786.95
"BCR09",2019,68,3887.85
"BCR09",2020,68,4127.14
"BCR09",2021,61,4210.83
"BCR10",1966,10,288
"BCR10",1967,10,343
"BCR10",1968,8,287
"BCR10",1969,8,307
"BCR10",1970,9,358
"BCR10",1971,11,488
"BCR10",1972,10,392
"BCR10",1973,11,433
"BCR10",1974,16,565.5
"BCR10",1975,16,629.3
"BCR10",1976,21,936.5
"BCR10",1977,23,1052.6
"BCR10",1978,26,1345.4
"BCR10",1979,24,1111.8
"BCR10",1980,29,1367
"BCR10",1981,31,1388.6
"BCR10",1982,33,1364.9
"BCR10",1983,37,1689.4
"BCR10",1984,33,1400.2
"BCR10",1985,40,1616.5
"BCR10",1986,37,1502.7
"BCR10",1987,37,1610.8
"BCR10",1988,40,1756.5
"BCR10",1989,40,1870.3
"BCR10",1990,42,1840.8
"BCR10",1991,43,1812.85
"BCR10",1992,46,2273.8
"BCR10",1993,45,1923.6
"BCR10",1994,46,2230.45
"BCR10",1995,48,2123.2
"BCR10",1996,47,2227.25
"BCR10",1997,47,1847.25
"BCR10",1998,53,2232.1
"BCR10",1999,54,2246.8
"BCR10",2000,53,2471.85
"BCR10",2001,62,2707.05
"BCR10",2002,64,2822.55
"BCR10",2003,66,2925.83
"BCR10",2004,66,2738.75
"BCR10",2005,65,2880.75
"BCR10",2006,72,2941.5
"BCR10",2007,71,3028.75
"BCR10",2008,71,3203.75
"BCR10",2009,72,2758
"BCR10",2010,72,3146.25
"BCR10",2011,73,3185
"BCR10",2012,75,3190.79
"BCR10",2013,75,3155.83
"BCR10",2014,78,3108.74
"BCR10",2015,78,3331.84
"BCR10",2016,81,3355.26
"BCR10",2017,83,3281.97
"BCR10",2018,80,3388.54
"BCR10",2019,79,3372.35
"BCR10",2020,74,3242.79
"BCR10",2021,69,3451.83
"BCR11",1966,1,43
"BCR11",1967,1,48
"BCR11",1968,1,49
"BCR11",1969,1,35
"BCR11",1970,1,54
"BCR11",1971,1,31
"BCR11",1972,1,38
"BCR11",1973,1,68
"BCR11",1974,1,78
"BCR11",1975,1,75
"BCR11",1976,1,91
"BCR11",1977,1,120
"BCR11",1978,1,137
"BCR11",1979,1,120
"BCR11",1980,1,94
"BCR11",1981,1,102
"BCR11",1982,1,98
"BCR11",1983,1,128
"BCR11",1984,1,119
"BCR11",1985,1,137
"BCR11",1986,1,183
"BCR11",1987,1,146
"BCR11",1988,1,165
"BCR11",1989,1,209
"BCR11",1990,1,184
"BCR11",1991,1,205
"BCR11",1992,1,220
"BCR11",1993,1,200
"BCR11",1994,1,208
"BCR11",1995,1,189
"BCR11",1996,1,195
"BCR11",1997,2,254
"BCR11",1998,2,313
"BCR11",1999,2,289.75
"BCR11",2000,2,277.75
"BCR11",2001,2,274
"BCR11",2002,2,258.5
"BCR11",2003,2,287.25
"BCR11",2004,3,323.75
"BCR11",2005,3,320
"BCR11",2006,3,353.5
"BCR11",2007,3,372
"BCR11",2008,3,355.25
"BCR11",2009,2,234.5
"BCR11",2010,2,295.25
"BCR11",2011,3,332.5
"BCR11",2012,3,364.5
"BCR11",2013,3,350.25
"BCR11",2014,3,379.75
"BCR11",2015,3,385.5
"BCR11",2016,3,376.35
"BCR11",2017,2,339.5
"BCR11",2018,2,300.25
"BCR11",2019,1,237.75
"BCR11",2020,3,331.95
"BCR11",2021,3,628.87
"BCR15",1966,2,41
"BCR15",1967,3,73
"BCR15",1968,3,62
"BCR15",1969,2,51
"BCR15",1970,2,63
"BCR15",1971,2,31
"BCR15",1972,1,25
"BCR15",1973,2,73
"BCR15",1974,2,89
"BCR15",1975,2,78
"BCR15",1976,3,147
"BCR15",1977,4,229
"BCR15",1978,4,174
"BCR15",1979,4,180.1
"BCR15",1980,4,156
"BCR15",1981,4,205.5
"BCR15",1982,3,100.5
"BCR15",1983,4,128.3
"BCR15",1984,4,264.3
"BCR15",1985,4,137.3
"BCR15",1986,3,162.8
"BCR15",1987,3,128.8
"BCR15",1988,3,209.1
"BCR15",1989,3,125
"BCR15",1990,4,171.3
"BCR15",1991,6,257.25
"BCR15",1992,6,290.25
"BCR15",1993,6,298.75
"BCR15",1994,6,329
"BCR15",1995,6,449
"BCR15",1996,6,416.5
"BCR15",1997,6,396
"BCR15",1998,8,477
"BCR15",1999,8,413.25
"BCR15",2000,7,383.25
"BCR15",2001,8,464.85
"BCR15",2002,9,460.95
"BCR15",2003,9,478.95
"BCR15",2004,10,463.75
"BCR15",2005,10,535
"BCR15",2006,10,506
"BCR15",2007,10,495.25
"BCR15",2008,9,549.25
"BCR15",2009,10,489.75
"BCR15",2010,10,550
"BCR15",2011,11,423.5
"BCR15",2012,11,481.15
"BCR15",2013,10,457.5
"BCR15",2014,10,496
"BCR15",2015,11,469.5
"BCR15",2016,11,475
"BCR15",2017,10,367.3
"BCR15",2018,11,537.4
"BCR15",2019,11,507.35
"BCR15",2020,11,481.15
"BCR15",2021,8,346
"BCR16",1966,11,413
"BCR16",1967,11,455
"BCR16",1968,12,357
"BCR16",1969,10,354
"BCR16",1970,12,517
"BCR16",1971,11,521
"BCR16",1972,15,521
"BCR16",1973,17,612.5
"BCR16",1974,16,668
"BCR16",1975,14,719
"BCR16",1976,14,528.5
"BCR16",1977,15,625
"BCR16",1978,17,654.6
"BCR16",1979,17,586.1
"BCR16",1980,19,730.6
"BCR16",1981,20,825.5
"BCR16",1982,21,839.9
"BCR16",1983,22,865.8
"BCR16",1984,21,787.7
"BCR16",1985,20,861.4
"BCR16",1986,21,886.5
"BCR16",1987,21,1078
"BCR16",1988,22,864.9
"BCR16",1989,22,1062.4
"BCR16",1990,22,1049.3
"BCR16",1991,23,1116.5
"BCR16",1992,25,1324
"BCR16",1993,24,1401.5
"BCR16",1994,26,1242.75
"BCR16",1995,25,1256.5
"BCR16",1996,23,1129
"BCR16",1997,27,1425
"BCR16",1998,28,1344.5
"BCR16",1999,28,1356.5
"BCR16",2000,30,1562.55
"BCR16",2001,31,1569.7
"BCR16",2002,33,1506.7
"BCR16",2003,32,1600.15
"BCR16",2004,32,1812.5
"BCR16",2005,33,1885
"BCR16",2006,33,2072.75
"BCR16",2007,34,2023.75
"BCR16",2008,35,1808.25
"BCR16",2009,34,1822.75
"BCR16",2010,34,1686.25
"BCR16",2011,34,1559.75
"BCR16",2012,37,1785.2
"BCR16",2013,35,1710.15
"BCR16",2014,37,1712.75
"BCR16",2015,36,1591.13
"BCR16",2016,38,1683.87
"BCR16",2017,41,1807.01
"BCR16",2018,40,2037.51
"BCR16",2019,43,2242.41
"BCR16",2020,42,2201.17
"BCR16",2021,36,2142.19
"BCR17",1966,2,77
"BCR17",1967,2,98
"BCR17",1968,2,87
"BCR17",1969,2,81
"BCR17",1970,3,114
"BCR17",1971,3,148
"BCR17",1972,3,129
"BCR17",1973,3,139
"BCR17",1974,3,144
"BCR17",1975,3,163
"BCR17",1976,3,157.5
"BCR17",1977,3,153
"BCR17",1978,4,184
"BCR17",1979,4,215.9
"BCR17",1980,4,189
"BCR17",1981,4,217.5
"BCR17",1982,4,184.8
"BCR17",1983,4,163
"BCR17",1984,4,171.3
"BCR17",1985,4,168.6
"BCR17",1986,4,163.6
"BCR17",1987,5,240.8
"BCR17",1988,5,267.7
"BCR17",1989,5,265.8
"BCR17",1990,5,225.7
"BCR17",1991,5,237
"BCR17",1992,5,252.5
"BCR17",1993,5,222
"BCR17",1994,5,284.75
"BCR17",1995,5,209.5
"BCR17",1996,5,234
"BCR17",1997,5,219.75
"BCR17",1998,5,249.25
"BCR17",1999,5,234.5
"BCR17",2000,5,233
"BCR17",2001,5,225.75
"BCR17",2002,5,209.8
"BCR17",2003,5,228
"BCR17",2004,5,229.5
"BCR17",2005,5,253
"BCR17",2006,5,235.75
"BCR17",2007,5,269.75
"BCR17",2008,5,269
"BCR17",2009,5,228.75
"BCR17",2010,5,308.75
"BCR17",2011,5,240.25
"BCR17",2012,5,266.5
"BCR17",2013,5,269.5
"BCR17",2014,5,239.7
"BCR17",2015,5,303.71
"BCR17",2016,5,240.42
"BCR17",2017,5,234
"BCR17",2018,5,235
"BCR17",2019,5,244.97
"BCR17",2020,5,253.5
"BCR17",2021,5,282.5
"BCR18",1966,6,294
"BCR18",1967,6,307
"BCR18",1968,5,244
"BCR18",1969,6,333
"BCR18",1970,5,395
"BCR18",1971,5,558
"BCR18",1972,5,525
"BCR18",1973,5,471
"BCR18",1974,5,759
"BCR18",1975,5,802
"BCR18",1976,6,847
"BCR18",1977,6,947
"BCR18",1978,6,896.6
"BCR18",1979,6,857
"BCR18",1980,6,800.6
"BCR18",1981,6,777.5
"BCR18",1982,6,761.1
"BCR18",1983,7,802.9
"BCR18",1984,7,833.5
"BCR18",1985,7,916.1
"BCR18",1986,8,913.8
"BCR18",1987,8,1063.3
"BCR18",1988,8,1026.4
"BCR18",1989,9,1115.9
"BCR18",1990,9,1297.4
"BCR18",1991,9,1125.25
"BCR18",1992,9,991.5
"BCR18",1993,9,1076
"BCR18",1994,9,1212.75
"BCR18",1995,9,1143.5
"BCR18",1996,9,1179.5
"BCR18",1997,9,1170
"BCR18",1998,9,1142.5
"BCR18",1999,9,1086
"BCR18",2000,9,1189.25
"BCR18",2001,10,1270.75
"BCR18",2002,10,1194.75
"BCR18",2003,10,1205.45
"BCR18",2004,10,1192.25
"BCR18",2005,10,1308
"BCR18",2006,9,1097.25
"BCR18",2007,10,1093.25
"BCR18",2008,10,1174.5
"BCR18",2009,10,1224.75
"BCR18",2010,10,1358.5
"BCR18",2011,10,1302.5
"BCR18",2012,10,1416.16
"BCR18",2013,10,1497.2
"BCR18",2014,10,1401.32
"BCR18",2015,10,1457.28
"BCR18",2016,10,1494.53
"BCR18",2017,10,1286.15
"BCR18",2018,10,1547.8
"BCR18",2019,10,1496.4
"BCR18",2020,11,1908.25
"BCR18",2021,9,1616.44
"BCR32",1966,12,907
"BCR32",1967,13,1348
"BCR32",1968,14,1581
"BCR32",1969,15,1097
"BCR32",1970,16,1233
"BCR32",1971,19,1434
"BCR32",1972,21,1854
"BCR32",1973,25,2336
"BCR32",1974,25,3247.5
"BCR32",1975,25,3061.5
"BCR32",1976,26,3165
"BCR32",1977,28,3697.4
"BCR32",1978,29,3562.9
"BCR32",1979,30,3431.9
"BCR32",1980,31,3798
"BCR32",1981,32,3990.7
"BCR32",1982,33,3497.1
"BCR32",1983,33,3854.1
"BCR32",1984,33,4046.9
"BCR32",1985,33,3796.2
"BCR32",1986,33,3658.7
"BCR32",1987,33,3633.8
"BCR32",1988,34,3681.3
"BCR32",1989,30,3233
"BCR32",1990,32,3841
"BCR32",1991,28,3326.25
"BCR32",1992,32,3806
"BCR32",1993,32,3688
"BCR32",1994,30,3797.25
"BCR32",1995,32,4047
"BCR32",1996,31,3874.1
"BCR32",1997,30,3528.75
"BCR32",1998,30,3720.25
"BCR32",1999,29,3867.25
"BCR32",2000,30,4086.3
"BCR32",2001,31,4278.34
"BCR32",2002,31,4166.27
"BCR32",2003,31,3902.98
"BCR32",2004,31,4452.75
"BCR32",2005,31,4166.75
"BCR32",2006,32,3960
"BCR32",2007,30,4277.95
"BCR32",2008,31,4667.7
"BCR32",2009,31,4201.15
"BCR32",2010,30,4437.9
"BCR32",2011,30,3984.75
"BCR32",2012,32,4524.39
"BCR32",2013,35,4667.39
"BCR32",2014,33,4608.44
"BCR32",2015,34,5068.65
"BCR32",2016,35,4767.33
"BCR32",2017,34,4374.21
"BCR32",2018,34,5049.46
"BCR32",2019,35,4626.98
"BCR32",2020,34,4268.1
"BCR32",2021,28,3967.35
"BCR34",1966,1,42
"BCR34",1967,1,42
"BCR34",1968,1,24
"BCR34",1969,3,150
"BCR34",1970,3,105
"BCR34",1971,3,216
"BCR34",1972,4,269
"BCR34",1973,5,404
"BCR34",1974,5,482
"BCR34",1975,5,410
"BCR34",1976,5,425.2
"BCR34",1977,6,518.3
"BCR34",1978,5,475.8
"BCR34",1979,7,583
"BCR34",1980,7,563
"BCR34",1981,7,612.3
"BCR34",1982,5,562.5
"BCR34",1983,6,637.5
"BCR34",1984,6,608.5
"BCR34",1985,6,504.8
"BCR34",1986,6,611
"BCR34",1987,6,553.5
"BCR34",1988,6,476.5
"BCR34",1989,6,600.5
"BCR34",1990,6,580.3
"BCR34",1991,6,582
"BCR34",1992,6,540.5
"BCR34",1993,6,510
"BCR34",1994,6,564.75
"BCR34",1995,6,537.75
"BCR34",1996,5,471.5
"BCR34",1997,6,525
"BCR34",1998,6,551.5
"BCR34",1999,6,565.5
"BCR34",2000,6,540.5
"BCR34",2001,6,578.15
"BCR34",2002,6,622.75
"BCR34",2003,6,674.75
"BCR34",2004,6,673.75
"BCR34",2005,6,661.75
"BCR34",2006,6,770.5
"BCR34",2007,6,655.75
"BCR34",2008,5,480.75
"BCR34",2009,6,663.75
"BCR34",2010,6,637.5
"BCR34",2011,6,662.25
"BCR34",2012,5,577.55
"BCR34",2013,4,335.3
"BCR34",2014,6,688.85
"BCR34",2015,6,616.9
"BCR34",2016,6,522.75
"BCR34",2017,6,591.45
"BCR34",2018,6,793.58
"BCR34",2019,6,611.76
"BCR34",2020,6,583.97
"BCR34",2021,6,792.1
